id,name,born,unique_category,unique_year,gender,country_name
140,Richard E. Taylor,1929-11-02,physics,1990,male,Canada
141,Pierre-Gilles de Gennes,1932-10-24,physics,1991,male,France
142,Georges Charpak,1924-08-01,physics,1992,male,Prussia
143,Russell A. Hulse,1950-11-28,physics,1993,male,USA
144,Joseph H. Taylor Jr.,1941-03-29,physics,1993,male,USA
145,Bertram N. Brockhouse,1918-07-15,physics,1994,male,Canada
146,Clifford G. Shull,1915-09-23,physics,1994,male,USA
147,Martin L. Perl,1927-06-24,physics,1995,male,USA
148,Frederick Reines,1918-03-16,physics,1995,male,USA
149,David M. Lee,1931-01-20,physics,1996,male,USA
150,Douglas D. Osheroff,1945-08-01,physics,1996,male,USA
151,Robert C. Richardson,1937-06-26,physics,1996,male,USA
152,Steven Chu,1948-02-28,physics,1997,male,USA
153,Claude Cohen-Tannoudji,1933-04-01,physics,1997,male,French Algeria
154,William D. Phillips,1948-11-05,physics,1997,male,USA
155,Robert B. Laughlin,1950-11-01,physics,1998,male,USA
156,Horst L. Störmer,1949-04-06,physics,1998,male,Württemberg
157,Daniel C. Tsui,1939-02-28,physics,1998,male,Tibet
158,Gerardus 't Hooft,1946-07-05,physics,1999,male,the Netherlands
159,Martinus J.G. Veltman,1931-06-27,physics,1999,male,the Netherlands
160,Jacobus H. van 't Hoff,1852-08-30,chemistry,1901,male,the Netherlands
161,Emil Fischer,1852-10-09,chemistry,1902,male,Württemberg
162,Svante Arrhenius,1859-02-19,chemistry,1903,male,Sweden
163,Sir William Ramsay,1852-10-02,chemistry,1904,male,United Kingdom
164,Adolf von Baeyer,1835-10-31,chemistry,1905,male,Württemberg
165,Henri Moissan,1852-09-28,chemistry,1906,male,France
166,Eduard Buchner,1860-05-20,chemistry,1907,male,Württemberg
167,Ernest Rutherford,1871-08-30,chemistry,1908,male,New Zealand
168,Wilhelm Ostwald,1853-09-02,chemistry,1909,male,Latvia
169,Otto Wallach,1847-03-27,chemistry,1910,male,USSR
172,Victor Grignard,1871-05-06,chemistry,1912,male,France
173,Paul Sabatier,1854-11-05,chemistry,1912,male,France
174,Alfred Werner,1866-12-12,chemistry,1913,male,France
175,Theodore W. Richards,1868-01-31,chemistry,1914,male,USA
176,Richard Willstätter,1872-08-13,chemistry,1915,male,Württemberg
177,Fritz Haber,1868-12-09,chemistry,1918,male,Prussia
178,Walther Nernst,1864-06-25,chemistry,1920,male,Prussia
179,Frederick Soddy,1877-09-02,chemistry,1921,male,United Kingdom
180,Francis W. Aston,1877-09-01,chemistry,1922,male,United Kingdom
181,Fritz Pregl,1869-09-03,chemistry,1923,male,Slovenia
