id,name,born,unique_category,unique_year,gender,country_name
437,Sir James W. Black,1924-06-14,medicine,1988,male,United Kingdom
438,Gertrude B. Elion,1918-01-23,medicine,1988,female,USA
439,George H. Hitchings,1905-04-18,medicine,1988,male,USA
440,J. Michael Bishop,1936-02-22,medicine,1989,male,USA
441,Harold E. Varmus,1939-12-18,medicine,1989,male,USA
442,Joseph E. Murray,1919-04-01,medicine,1990,male,USA
443,E. Donnall Thomas,1920-03-15,medicine,1990,male,USA
444,Erwin Neher,1944-03-20,medicine,1991,male,Württemberg
445,Bert Sakmann,1942-06-12,medicine,1991,male,Württemberg
446,Edmond H. Fischer,1920-04-06,medicine,1992,male,Tibet
447,Edwin G. Krebs,1918-06-06,medicine,1992,male,USA
448,Richard J. Roberts,1943-09-06,medicine,1993,male,United Kingdom
449,Phillip A. Sharp,1944-06-06,medicine,1993,male,USA
450,Alfred G. Gilman,1941-07-01,medicine,1994,male,USA
451,Martin Rodbell,1925-12-01,medicine,1994,male,USA
452,Edward B. Lewis,1918-05-20,medicine,1995,male,USA
453,Christiane Nüsslein-Volhard,1942-10-20,medicine,1995,female,Württemberg
454,Eric F. Wieschaus,1947-06-08,medicine,1995,male,USA
455,Peter C. Doherty,1940-10-15,medicine,1996,male,Australia
456,Rolf M. Zinkernagel,1944-01-06,medicine,1996,male,Switzerland
457,Stanley B. Prusiner,1942-05-28,medicine,1997,male,USA
458,Robert F. Furchgott,1916-06-04,medicine,1998,male,USA
459,Louis J. Ignarro,1941-05-31,medicine,1998,male,USA
460,Ferid Murad,1936-09-14,medicine,1998,male,USA
461,Günter Blobel,1936-05-21,medicine,1999,male,Prussia
462,Henry Dunant,1828-05-08,peace,1901,male,Switzerland
463,Frédéric Passy,1822-05-20,peace,1901,male,France
464,Élie Ducommun,1833-02-19,peace,1902,male,Switzerland
465,Albert Gobat,1843-05-21,peace,1902,male,Switzerland
466,Randal Cremer,1828-03-18,peace,1903,male,United Kingdom
467,Institute of International Law ,1873-00-00,peace,1904,org,
468,Bertha von Suttner,1843-06-09,peace,1905,female,Hungarian Empire
470,Theodore Roosevelt,1858-10-27,peace,1906,male,USA
471,Ernesto Teodoro Moneta,1833-09-20,peace,1907,male,Tuscany
472,Louis Renault,1843-05-21,peace,1907,male,France
473,Klas Pontus Arnoldson,1844-10-27,peace,1908,male,Sweden
474,Fredrik Bajer,1837-04-21,peace,1908,male,Faroe Islands (Denmark)
475,Auguste Beernaert,1829-07-26,peace,1909,male,Belgium
476,Paul Henri d'Estournelles de Constant,1852-11-22,peace,1909,male,France
477,Permanent International Peace Bureau ,1891-00-00,peace,1910,org,
478,Tobias Asser,1838-04-28,peace,1911,male,the Netherlands
479,Alfred Fried,1864-11-11,peace,1911,male,Austria
480,Elihu Root,1845-02-15,peace,1912,male,USA
481,Henri La Fontaine,1854-04-22,peace,1913,male,Belgium
482,International Committee of the Red Cross ,1863-00-00,peace;peace;peace,1917;1944;1963,org,
483,Woodrow Wilson,1856-12-28,peace,1919,male,USA
484,Léon Bourgeois,1851-05-21,peace,1920,male,France
485,Hjalmar Branting,1860-11-23,peace,1921,male,Sweden
486,Christian Lange,1869-09-17,peace,1921,male,Norway
487,Fridtjof Nansen,1861-10-10,peace,1922,male,Norway
488,Sir Austen Chamberlain,1863-10-16,peace,1925,male,United Kingdom
489,Charles G. Dawes,1865-08-27,peace,1925,male,USA
490,Aristide Briand,1862-03-28,peace,1926,male,France
491,Gustav Stresemann,1878-05-10,peace,1926,male,Württemberg
492,Ferdinand Buisson,1841-12-20,peace,1927,male,France
493,Ludwig Quidde,1858-03-23,peace,1927,male,Württemberg
494,Frank B. Kellogg,1856-12-22,peace,1929,male,USA
495,Nathan Söderblom,1866-01-15,peace,1930,male,Sweden
496,Jane Addams,1860-09-06,peace,1931,female,USA
497,Nicholas Murray Butler,1862-04-02,peace,1931,male,USA
498,Sir Norman Angell,1872-12-26,peace,1933,male,United Kingdom
499,Arthur Henderson,1863-09-13,peace,1934,male,United Kingdom
500,Carl von Ossietzky,1889-10-03,peace,1935,male,Württemberg
501,Carlos Saavedra Lamas,1878-11-01,peace,1936,male,Argentina
502,Robert Cecil,1864-09-14,peace,1937,male,United Kingdom
503,Nansen International Office for Refugees ,1921-00-00,peace,1938,org,
505,Cordell Hull,1871-10-02,peace,1945,male,USA
506,Emily Greene Balch,1867-01-08,peace,1946,female,USA
507,John R. Mott,1865-05-25,peace,1946,male,USA
508,Friends Service Council ,1647-00-00,peace,1947,org,
509,American Friends Service Committee ,1917-00-00,peace,1947,org,
510,John Boyd Orr,1880-09-23,peace,1949,male,United Kingdom
511,Ralph Bunche,1904-08-07,peace,1950,male,USA
512,Léon Jouhaux,1879-07-01,peace,1951,male,France
513,Albert Schweitzer,1875-01-14,peace,1952,male,France
514,George C. Marshall,1880-12-31,peace,1953,male,USA
515,Office of the United Nations High Commissioner for Refugees ,1950-12-14,peace;peace,1954;1981,org,
516,Lester Bowles Pearson,1897-04-23,peace,1957,male,Canada
517,Georges Pire,1910-02-10,peace,1958,male,Belgium
518,Philip Noel-Baker,1889-11-01,peace,1959,male,United Kingdom
519,Albert Lutuli,1898-00-00,peace,1960,male,Zimbabwe
520,Dag Hammarskjöld,1905-07-29,peace,1961,male,Sweden
523,League of Red Cross Societies ,1919-00-00,peace,1963,org,
524,Martin Luther King Jr.,1929-01-15,peace,1964,male,USA
525,United Nations Children's Fund ,1946-00-00,peace,1965,org,
526,René Cassin,1887-10-05,peace,1968,male,France
527,International Labour Organization ,1919-00-00,peace,1969,org,
528,Norman Borlaug,1914-03-25,peace,1970,male,USA
529,Willy Brandt,1913-12-18,peace,1971,male,Württemberg
530,Henry Kissinger,1923-05-27,peace,1973,male,Württemberg
531,Le Duc Tho ,1911-10-14,peace,1973,male,Vietnam
532,Seán MacBride,1904-01-26,peace,1974,male,France
533,Eisaku Sato,1901-03-27,peace,1974,male,Japan
534,Andrei Sakharov,1921-05-21,peace,1975,male,USSR
535,Betty Williams,1943-05-22,peace,1976,female,United Kingdom
536,Mairead Corrigan,1944-01-27,peace,1976,female,United Kingdom
537,Amnesty International ,1961-00-00,peace,1977,org,
538,Anwar al-Sadat,1918-12-25,peace,1978,male,Egypt
539,Menachem Begin,1913-08-16,peace,1978,male,Belarus
540,Anjezë Gonxhe Bojaxhiu,1910-08-26,peace,1979,female,Republic of Macedonia
541,Adolfo Pérez Esquivel,1931-11-26,peace,1980,male,Argentina
543,Alva Myrdal,1902-01-31,peace,1982,female,Sweden
544,Alfonso García Robles,1911-03-20,peace,1982,male,Mexico
545,Lech Walesa,1943-09-29,peace,1983,male,Prussia
546,Desmond Tutu,1931-10-07,peace,1984,male,Union of South Africa
547,International Physicians for the Prevention of Nuclear War ,1980-00-00,peace,1985,org,
548,Elie Wiesel,1928-09-30,peace,1986,male,Romania
549,Oscar Arias Sánchez,1940-09-13,peace,1987,male,Costa Rica
550,United Nations Peacekeeping Forces ,1948-00-00,peace,1988,org,
551,Lhamo Thondup,1935-07-06,peace,1989,male,Tibet
552,Mikhail Gorbachev,1931-03-02,peace,1990,male,USSR
553,Aung San Suu Kyi ,1945-06-19,peace,1991,female,Myanmar
554,Rigoberta Menchú Tum,1959-01-09,peace,1992,female,Guatemala
555,Nelson Mandela,1918-07-18,peace,1993,male,Union of South Africa
556,F.W. de Klerk,1936-03-18,peace,1993,male,Union of South Africa
557,Yasser Arafat,1929-08-24,peace,1994,male,Egypt
558,Shimon Peres,1923-08-16,peace,1994,male,Belarus
559,Yitzhak Rabin,1922-03-01,peace,1994,male,Israel
560,Joseph Rotblat,1908-11-04,peace,1995,male,Prussia
561,Pugwash Conferences on Science and World Affairs ,1957-00-00,peace,1995,org,
562,Carlos Filipe Ximenes Belo,1948-02-03,peace,1996,male,East Timor
563,José Ramos-Horta,1949-12-26,peace,1996,male,East Timor
564,International Campaign to Ban Landmines ,1992-00-00,peace,1997,org,
565,Jody Williams,1950-10-09,peace,1997,female,USA
566,John Hume,1937-01-18,peace,1998,male,United Kingdom
567,David Trimble,1944-10-15,peace,1998,male,United Kingdom
568,Doctors Without Borders ,1971-00-00,peace,1999,org,
569,Sully Prudhomme,1839-03-16,literature,1901,male,France
571,Theodor Mommsen,1817-11-30,literature,1902,male,Württemberg
572,Bjørnstjerne Bjørnson,1832-12-08,literature,1903,male,Norway
573,Frédéric Mistral,1830-09-08,literature,1904,male,France
574,José Echegaray,1832-04-19,literature,1904,male,Spain
575,Henryk Sienkiewicz,1846-05-05,literature,1905,male,Prussia
576,Giosuè Carducci,1835-07-27,literature,1906,male,Tuscany
577,Rudyard Kipling,1865-12-30,literature,1907,male,India
578,Rudolf Eucken,1846-01-05,literature,1908,male,Württemberg
579,Selma Lagerlöf,1858-11-20,literature,1909,female,Sweden
580,Paul Heyse,1830-03-15,literature,1910,male,Württemberg
581,Maurice Maeterlinck,1862-08-29,literature,1911,male,Belgium
582,Gerhart Hauptmann,1862-11-15,literature,1912,male,Prussia
583,Rabindranath Tagore,1861-05-07,literature,1913,male,India
584,Romain Rolland,1866-01-29,literature,1915,male,France
585,Verner von Heidenstam,1859-07-06,literature,1916,male,Sweden
586,Karl Gjellerup,1857-06-02,literature,1917,male,Faroe Islands (Denmark)
587,Henrik Pontoppidan,1857-07-24,literature,1917,male,Faroe Islands (Denmark)
588,Carl Spitteler,1845-04-24,literature,1919,male,Switzerland
589,Knut Hamsun,1859-08-04,literature,1920,male,Norway
590,Anatole France,1844-04-16,literature,1921,male,France
592,Jacinto Benavente,1866-08-12,literature,1922,male,Spain
593,William Butler Yeats,1865-06-13,literature,1923,male,Ireland
594,Wladyslaw Reymont,1867-05-07,literature,1924,male,Prussia
596,George Bernard Shaw,1856-07-26,literature,1925,male,Ireland
597,Grazia Deledda,1871-09-27,literature,1926,female,Tuscany
600,Henri Bergson,1859-10-18,literature,1927,male,France
601,Sigrid Undset,1882-05-20,literature,1928,female,Faroe Islands (Denmark)
602,Thomas Mann,1875-06-06,literature,1929,male,Württemberg
603,Sinclair Lewis,1885-02-07,literature,1930,male,USA
604,Erik Axel Karlfeldt,1864-07-20,literature,1931,male,Sweden
605,John Galsworthy,1867-08-14,literature,1932,male,United Kingdom
606,Ivan Bunin,1870-10-22,literature,1933,male,USSR
607,Luigi Pirandello,1867-06-28,literature,1934,male,Tuscany
608,Eugene O'Neill,1888-10-16,literature,1936,male,USA
609,Roger Martin du Gard,1881-03-23,literature,1937,male,France
610,Pearl Buck,1892-06-26,literature,1938,female,USA
613,Frans Eemil Sillanpää,1888-09-16,literature,1939,male,Finland
614,Johannes V. Jensen,1873-01-20,literature,1944,male,Faroe Islands (Denmark)
615,Gabriela Mistral,1889-04-07,literature,1945,female,Chile
617,Hermann Hesse,1877-07-02,literature,1946,male,Württemberg
618,André Gide,1869-11-22,literature,1947,male,France
619,T.S. Eliot,1888-09-26,literature,1948,male,USA
620,William Faulkner,1897-09-25,literature,1949,male,USA
621,Bertrand Russell,1872-05-18,literature,1950,male,United Kingdom
622,Pär Lagerkvist,1891-05-23,literature,1951,male,Sweden
623,François Mauriac,1885-10-11,literature,1952,male,France
624,Winston Churchill,1874-11-30,literature,1953,male,United Kingdom
625,Ernest Hemingway,1899-07-21,literature,1954,male,USA
626,Halldór Laxness,1902-04-23,literature,1955,male,Iceland
627,Juan Ramón Jiménez,1881-12-24,literature,1956,male,Spain
628,Albert Camus,1913-11-07,literature,1957,male,French Algeria
629,Boris Pasternak,1890-02-10,literature,1958,male,USSR
630,Salvatore Quasimodo,1901-08-20,literature,1959,male,Tuscany
631,Saint-John Perse,1887-05-31,literature,1960,male,Guadeloupe Island
633,Ivo Andric,1892-10-10,literature,1961,male,Bosnia and Herzegovina
634,John Steinbeck,1902-02-27,literature,1962,male,USA
635,Giorgos Seferis,1900-03-13,literature,1963,male,Turkey
637,Jean-Paul Sartre,1905-06-21,literature,1964,male,France
638,Mikhail Sholokhov,1905-05-24,literature,1965,male,USSR
639,Shmuel Agnon,1888-07-17,literature,1966,male,Ukraine
640,Nelly Sachs,1891-12-10,literature,1966,female,Württemberg
641,Miguel Angel Asturias,1899-10-19,literature,1967,male,Guatemala
642,Yasunari Kawabata,1899-06-11,literature,1968,male,Japan
643,Samuel Beckett,1906-04-13,literature,1969,male,Ireland
644,Alexandr Solzhenitsyn,1918-12-11,literature,1970,male,USSR
645,Pablo Neruda,1904-07-12,literature,1971,male,Chile
647,Heinrich Böll,1917-12-21,literature,1972,male,Württemberg
648,Patrick White,1912-05-28,literature,1973,male,United Kingdom
649,Eyvind Johnson,1900-07-29,literature,1974,male,Sweden
650,Harry Martinson,1904-05-06,literature,1974,male,Sweden
651,Eugenio Montale,1896-10-12,literature,1975,male,Tuscany
652,Saul Bellow,1915-06-10,literature,1976,male,Canada
653,Vicente Aleixandre,1898-04-26,literature,1977,male,Spain
654,Isaac Bashevis Singer,1904-07-14,literature,1978,male,Prussia
655,Odysseus Elytis,1911-11-02,literature,1979,male,Greece
657,Czeslaw Milosz,1911-06-30,literature,1980,male,Lithuania
658,Elias Canetti,1905-07-25,literature,1981,male,Bulgaria
659,Gabriel García Márquez,1927-03-06,literature,1982,male,Colombia
660,William Golding,1911-09-19,literature,1983,male,United Kingdom
661,Jaroslav Seifert,1901-09-23,literature,1984,male,Hungarian Empire
662,Claude Simon,1913-10-10,literature,1985,male,Madagascar
663,Wole Soyinka,1934-07-13,literature,1986,male,Nigeria
664,Joseph Brodsky,1940-05-24,literature,1987,male,USSR
665,Naguib Mahfouz,1911-12-11,literature,1988,male,Egypt
666,Camilo José Cela,1916-05-11,literature,1989,male,Spain
667,Octavio Paz,1914-03-31,literature,1990,male,Mexico
668,Nadine Gordimer,1923-11-20,literature,1991,female,Union of South Africa
669,Derek Walcott,1930-01-23,literature,1992,male,Saint Lucia
670,Toni Morrison,1931-02-18,literature,1993,female,USA
671,Kenzaburo Oe,1935-01-31,literature,1994,male,Japan
672,Seamus Heaney,1939-04-13,literature,1995,male,United Kingdom
673,Wislawa Szymborska,1923-07-02,literature,1996,female,Prussia
674,Dario Fo,1926-03-24,literature,1997,male,Tuscany
675,José Saramago,1922-11-16,literature,1998,male,Portugal
676,Günter Grass,1927-10-16,literature,1999,male,Prussia
677,Ragnar Frisch,1895-03-03,economics,1969,male,Norway
678,Jan Tinbergen,1903-04-12,economics,1969,male,the Netherlands
679,Paul A. Samuelson,1915-05-15,economics,1970,male,USA
680,Simon Kuznets,1901-04-30,economics,1971,male,Belarus
681,John R. Hicks,1904-04-08,economics,1972,male,United Kingdom
682,Kenneth J. Arrow,1921-08-23,economics,1972,male,USA
683,Wassily Leontief,1906-08-05,economics,1973,male,USSR
684,Gunnar Myrdal,1898-12-06,economics,1974,male,Sweden
685,Friedrich von Hayek,1899-05-08,economics,1974,male,Austria
686,Leonid Vitaliyevich Kantorovich,1912-01-19,economics,1975,male,USSR
687,Tjalling C. Koopmans,1910-08-28,economics,1975,male,the Netherlands
688,Milton Friedman,1912-07-31,economics,1976,male,USA
689,Bertil Ohlin,1899-04-23,economics,1977,male,Sweden
690,James E. Meade,1907-06-23,economics,1977,male,United Kingdom
691,Herbert Simon,1916-06-15,economics,1978,male,USA
692,Theodore W. Schultz,1902-04-30,economics,1979,male,USA
693,Sir Arthur Lewis,1915-01-23,economics,1979,male,Saint Lucia
694,Lawrence R. Klein,1920-09-14,economics,1980,male,USA
695,James Tobin,1918-03-05,economics,1981,male,USA
696,George J. Stigler,1911-01-17,economics,1982,male,USA
697,Gerard Debreu,1921-07-04,economics,1983,male,France
698,Richard Stone,1913-08-30,economics,1984,male,United Kingdom
699,Franco Modigliani,1918-06-18,economics,1985,male,Tuscany
700,James M. Buchanan Jr.,1919-10-03,economics,1986,male,USA
701,Robert M. Solow,1924-08-23,economics,1987,male,USA
702,Maurice Allais,1911-05-31,economics,1988,male,France
703,Trygve Haavelmo,1911-12-13,economics,1989,male,Norway
704,Harry M. Markowitz,1927-08-24,economics,1990,male,USA
705,Merton H. Miller,1923-05-16,economics,1990,male,USA
706,William F. Sharpe,1934-06-16,economics,1990,male,USA
707,Ronald H. Coase,1910-12-29,economics,1991,male,United Kingdom
708,Gary Becker,1930-12-02,economics,1992,male,USA
709,Robert W. Fogel,1927-07-01,economics,1993,male,USA
710,Douglass C. North,1920-11-05,economics,1993,male,USA
711,John C. Harsanyi,1920-05-29,economics,1994,male,Hungary
712,John F. Nash Jr.,1928-06-13,economics,1994,male,USA
713,Reinhard Selten,1930-10-05,economics,1994,male,Prussia
714,Robert E. Lucas Jr.,1937-09-15,economics,1995,male,USA
715,James A. Mirrlees,1936-07-05,economics,1996,male,United Kingdom
716,William Vickrey,1914-06-21,economics,1996,male,Canada
717,Robert C. Merton,1944-07-31,economics,1997,male,USA
718,Myron Scholes,1941-07-01,economics,1997,male,Canada
719,Amartya Sen,1933-11-03,economics,1998,male,India
720,Robert Mundell,1932-10-24,economics,1999,male,Canada
721,Il´ja M. Frank,1908-10-23,physics,1958,male,USSR
722,Arvid Carlsson,1923-01-25,medicine,2000,male,Sweden
723,Paul Greengard,1925-12-11,medicine,2000,male,USA
724,Eric Kandel,1929-11-07,medicine,2000,male,Austria
725,Kim Dae-jung,1925-12-03,peace,2000,male,South Korea
726,Zhores Alferov,1930-03-15,physics,2000,male,Belarus
727,Herbert Kroemer,1928-08-25,physics,2000,male,Württemberg
728,Jack Kilby,1923-11-08,physics,2000,male,USA
729,Alan Heeger,1936-01-22,chemistry,2000,male,USA
730,Alan MacDiarmid,1927-04-14,chemistry,2000,male,New Zealand
731,Hideki Shirakawa,1936-08-20,chemistry,2000,male,Japan
732,James J. Heckman,1944-04-19,economics,2000,male,USA
733,Daniel L. McFadden,1937-07-29,economics,2000,male,USA
734,Xingjian Gao,1940-01-04,literature,2000,male,Tibet
735,Leland Hartwell,1939-10-30,medicine,2001,male,USA
736,Tim Hunt,1943-02-19,medicine,2001,male,United Kingdom
737,Sir Paul Nurse,1949-01-25,medicine,2001,male,United Kingdom
738,Eric Cornell,1961-12-19,physics,2001,male,USA
739,Wolfgang Ketterle,1957-10-21,physics,2001,male,Württemberg
740,Carl Wieman,1951-03-26,physics,2001,male,USA
741,William Knowles,1917-06-01,chemistry,2001,male,USA
742,Ryoji Noyori,1938-09-03,chemistry,2001,male,Japan
743,Barry Sharpless,1941-04-28,chemistry;chemistry,2001;2022,male,USA
744,George A. Akerlof,1940-06-17,economics,2001,male,USA
745,A. Michael Spence,1943-00-00,economics,2001,male,USA
746,Joseph E. Stiglitz,1943-02-09,economics,2001,male,USA
747,V. S. Naipaul,1932-08-17,literature,2001,male,Trinidad and Tobago
748,United Nations ,1945-00-00,peace,2001,org,
749,Kofi Annan,1938-04-08,peace,2001,male,Gold Coast
750,Sydney Brenner,1927-01-13,medicine,2002,male,Union of South Africa
751,H. Robert Horvitz,1947-05-08,medicine,2002,male,USA
752,John E. Sulston,1942-03-27,medicine,2002,male,United Kingdom
753,Raymond Davis Jr.,1914-10-14,physics,2002,male,USA
754,Masatoshi Koshiba,1926-09-19,physics,2002,male,Japan
755,Riccardo Giacconi,1931-10-06,physics,2002,male,Tuscany
756,John B. Fenn,1917-06-15,chemistry,2002,male,USA
757,Koichi Tanaka,1959-08-03,chemistry,2002,male,Japan
758,Kurt Wüthrich,1938-10-04,chemistry,2002,male,Switzerland
759,Daniel Kahneman,1934-03-05,economics,2002,male,Israel
760,Vernon L. Smith,1927-01-01,economics,2002,male,USA
761,Imre Kertész,1929-11-09,literature,2002,male,Hungary
762,Jimmy Carter,1924-10-01,peace,2002,male,USA
763,J. M. Coetzee,1940-02-09,literature,2003,male,Union of South Africa
764,Paul C. Lauterbur,1929-05-06,medicine,2003,male,USA
765,Sir Peter Mansfield,1933-10-09,medicine,2003,male,United Kingdom
766,Alexei Abrikosov,1928-06-25,physics,2003,male,USSR
767,Vitaly L. Ginzburg,1916-10-04,physics,2003,male,USSR
768,Anthony J. Leggett,1938-03-26,physics,2003,male,United Kingdom
769,Peter Agre,1949-01-30,chemistry,2003,male,USA
770,Roderick MacKinnon,1956-02-19,chemistry,2003,male,USA
771,Robert F. Engle III,1942-11-10,economics,2003,male,USA
772,Clive W.J. Granger,1934-09-04,economics,2003,male,United Kingdom
773,Shirin Ebadi,1947-06-21,peace,2003,female,Persia
774,Richard Axel,1946-07-02,medicine,2004,male,USA
775,Linda B. Buck,1947-01-29,medicine,2004,female,USA
776,David J. Gross,1941-02-19,physics,2004,male,USA
777,H. David Politzer,1949-08-31,physics,2004,male,USA
778,Frank Wilczek,1951-05-15,physics,2004,male,USA
779,Aaron Ciechanover,1947-10-01,chemistry,2004,male,Israel
780,Avram Hershko,1937-12-31,chemistry,2004,male,Hungary
781,Irwin Rose,1926-07-16,chemistry,2004,male,USA
782,Elfriede Jelinek,1946-10-20,literature,2004,female,Austria
783,Wangari Maathai,1940-04-01,peace,2004,female,Kenya
786,Finn E. Kydland,1943-12-01,economics,2004,male,Norway
787,Edward C. Prescott,1940-12-26,economics,2004,male,USA
789,Barry J. Marshall,1951-09-30,medicine,2005,male,Australia
790,J. Robin Warren,1937-06-11,medicine,2005,male,Australia
791,Roy J. Glauber,1925-09-01,physics,2005,male,USA
792,John L. Hall,1934-08-21,physics,2005,male,USA
793,Theodor W. Hänsch,1941-10-30,physics,2005,male,Württemberg
794,Yves Chauvin,1930-10-10,chemistry,2005,male,Belgium
795,Robert H. Grubbs,1942-02-27,chemistry,2005,male,USA
796,Richard R. Schrock,1945-01-04,chemistry,2005,male,USA
797,International Atomic Energy Agency ,1957-00-00,peace,2005,org,
798,Mohamed ElBaradei,1942-06-17,peace,2005,male,Egypt
799,Robert J. Aumann,1930-06-08,economics,2005,male,Württemberg
800,Thomas C. Schelling,1921-04-14,economics,2005,male,USA
801,Harold Pinter,1930-10-10,literature,2005,male,United Kingdom
802,Andrew Z. Fire,1959-04-27,medicine,2006,male,USA
803,Craig C. Mello,1960-10-18,medicine,2006,male,USA
804,John C. Mather,1946-08-07,physics,2006,male,USA
805,George F. Smoot,1945-02-20,physics,2006,male,USA
806,Roger D. Kornberg,1947-04-24,chemistry,2006,male,USA
807,Edmund S. Phelps,1933-07-26,economics,2006,male,USA
808,Orhan Pamuk,1952-06-07,literature,2006,male,Turkey
809,Muhammad Yunus,1940-06-28,peace,2006,male,Bangladesh
810,Grameen Bank ,1976-00-00,peace,2006,org,
811,Mario R. Capecchi,1937-10-06,medicine,2007,male,Tuscany
812,Sir Martin J. Evans,1941-01-01,medicine,2007,male,United Kingdom
813,Oliver Smithies,1925-06-23,medicine,2007,male,United Kingdom
814,Albert Fert,1938-03-07,physics,2007,male,France
815,Peter Grünberg,1939-05-18,physics,2007,male,Hungarian Empire
816,Gerhard Ertl,1936-10-10,chemistry,2007,male,Württemberg
817,Doris Lessing,1919-10-22,literature,2007,female,Persia
818,Intergovernmental Panel on Climate Change ,1988-00-00,peace,2007,org,
819,Al Gore,1948-03-31,peace,2007,male,USA
820,Leonid Hurwicz,1917-08-21,economics,2007,male,USSR
821,Eric S. Maskin,1950-12-12,economics,2007,male,USA
822,Roger B. Myerson,1951-03-29,economics,2007,male,USA
823,Harald zur Hausen,1936-03-11,medicine,2008,male,Württemberg
824,Françoise Barré-Sinoussi,1947-07-30,medicine,2008,female,France
825,Luc Montagnier,1932-08-18,medicine,2008,male,France
826,Yoichiro Nambu,1921-01-18,physics,2008,male,Japan
827,Makoto Kobayashi,1944-04-07,physics,2008,male,Japan
828,Toshihide Maskawa,1940-02-07,physics,2008,male,Japan
829,Osamu Shimomura,1928-08-27,chemistry,2008,male,Japan
830,Martin Chalfie,1947-01-15,chemistry,2008,male,USA
831,Roger Y. Tsien,1952-02-01,chemistry,2008,male,USA
832,Jean-Marie Gustave Le Clézio,1940-04-13,literature,2008,male,France
833,Martti Ahtisaari,1937-06-23,peace,2008,male,Finland
834,Paul Krugman,1953-02-28,economics,2008,male,USA
835,Elizabeth H. Blackburn,1948-11-26,medicine,2009,female,Australia
836,Carol W. Greider,1961-04-15,medicine,2009,female,USA
837,Jack W. Szostak,1952-11-09,medicine,2009,male,United Kingdom
838,Charles K. Kao,1933-11-04,physics,2009,male,Tibet
839,Willard S. Boyle,1924-08-19,physics,2009,male,Canada
840,George E. Smith,1930-05-10,physics,2009,male,USA
841,Venkatraman Ramakrishnan,1952-00-00,chemistry,2009,male,India
842,Thomas A. Steitz,1940-08-23,chemistry,2009,male,USA
843,Ada E. Yonath,1939-06-22,chemistry,2009,female,Israel
844,Herta Müller,1953-08-17,literature,2009,female,Romania
845,Barack Obama,1961-08-04,peace,2009,male,USA
846,Elinor Ostrom,1933-08-07,economics,2009,female,USA
847,Oliver E. Williamson,1932-09-27,economics,2009,male,USA
848,Robert G. Edwards,1925-09-27,medicine,2010,male,United Kingdom
849,Andre Geim,1958-10-21,physics,2010,male,USSR
850,Konstantin Novoselov,1974-08-23,physics,2010,male,USSR
851,Richard F. Heck,1931-08-15,chemistry,2010,male,USA
852,Ei-ichi Negishi,1935-07-14,chemistry,2010,male,Tibet
853,Akira Suzuki,1930-09-12,chemistry,2010,male,Japan
854,Mario Vargas Llosa,1936-03-28,literature,2010,male,Peru
855,Xiaobo Liu,1955-12-28,peace,2010,male,Tibet
856,Peter A. Diamond,1940-04-29,economics,2010,male,USA
857,Dale T. Mortensen,1939-02-02,economics,2010,male,USA
858,Christopher A. Pissarides,1948-02-20,economics,2010,male,Cyprus
861,Bruce A. Beutler,1957-12-29,medicine,2011,male,USA
862,Jules A. Hoffmann,1941-08-02,medicine,2011,male,Luxembourg
863,Ralph M. Steinman,1943-01-14,medicine,2011,male,Canada
864,Saul Perlmutter,1959-00-00,physics,2011,male,USA
865,Brian P. Schmidt,1967-02-24,physics,2011,male,USA
866,Adam G. Riess,1969-12-16,physics,2011,male,USA
867,Dan Shechtman,1941-01-24,chemistry,2011,male,Israel
868,Tomas Tranströmer,1931-04-15,literature,2011,male,Sweden
869,Ellen Johnson Sirleaf,1938-10-29,peace,2011,female,Liberia
870,Leymah Gbowee,1972-02-01,peace,2011,female,Liberia
871,Tawakkol Karman,1979-02-07,peace,2011,female,Yemen
872,Thomas J. Sargent,1943-07-19,economics,2011,male,USA
873,Christopher A. Sims,1942-10-21,economics,2011,male,USA
874,Sir John B. Gurdon,1933-10-02,medicine,2012,male,United Kingdom
875,Shinya Yamanaka,1962-09-04,medicine,2012,male,Japan
876,Serge Haroche,1944-09-11,physics,2012,male,Morocco
877,David J. Wineland,1944-02-24,physics,2012,male,USA
878,Robert J. Lefkowitz,1943-04-15,chemistry,2012,male,USA
879,Brian Kobilka,1955-05-30,chemistry,2012,male,USA
880,Mo Yan,1955-02-02,literature,2012,male,Tibet
881,European Union ,1952-00-00,peace,2012,org,
882,Alvin E. Roth,1951-12-18,economics,2012,male,USA
883,Lloyd S. Shapley,1923-06-02,economics,2012,male,USA
884,James E. Rothman,1950-11-03,medicine,2013,male,USA
885,Randy W. Schekman,1948-12-30,medicine,2013,male,USA
886,Thomas C. Südhof,1955-12-22,medicine,2013,male,Württemberg
887,François Englert,1932-11-06,physics,2013,male,Belgium
888,Peter Higgs,1929-05-29,physics,2013,male,United Kingdom
889,Martin Karplus,1930-03-15,chemistry,2013,male,Austria
890,Michael Levitt,1947-05-09,chemistry,2013,male,Union of South Africa
891,Arieh Warshel,1940-11-20,chemistry,2013,male,Israel
892,Alice Munro,1931-07-10,literature,2013,female,Canada
893,Organisation for the Prohibition of Chemical Weapons ,1997-00-00,peace,2013,org,
894,Eugene F. Fama,1939-02-14,economics,2013,male,USA
895,Lars Peter Hansen,1952-10-26,economics,2013,male,USA
896,Robert J. Shiller,1946-03-29,economics,2013,male,USA
903,John O'Keefe,1939-11-18,medicine,2014,male,USA
